SampleID,Source,A name,B name,F1,N1,S/N 1,F2,N2,S/N 2,sample num,A type,B type,RealData [yes=1]
train1,INDEP,A,B,NA,NA,NA,NA,NA,NA,577,Numerical,Categorical,0
train2,ARTIFCE,A,B,atanh,preadd,0.25,NA,NA,NA,3017,Numerical,Categorical,0
train3,ARTIFCE,A,B,sine,postadd,1,NA,NA,NA,2728,Numerical,Numerical,0
train4,ARTIFCE,A,B,cubic,postmult,0.5,NA,NA,NA,802,Numerical,Numerical,0
train5,RELATED,A,B,tanh,postadd,1,sine,premult,1,611,Binary,Binary,0
train6,CAR,org,Weight,NA,NA,NA,NA,NA,NA,406,Categorical,Numerical,1
train7,INDEP,A,B,NA,NA,NA,NA,NA,NA,4056,Categorical,Numerical,0
train8,INDEP,A,B,NA,NA,NA,NA,NA,NA,2017,Numerical,Numerical,0
train9,RELATED,A,B,atanh,premult,2,line,postadd,1,7503,Numerical,Numerical,0
train10,RELATED,A,B,log,postadd,1,exp,postadd,2,4855,Categorical,Numerical,0
train11,RELATED,A,B,exp,postmult,0.25,sine,premult,2,5835,Numerical,Numerical,0
train12,YEAST,CAP1-YKL007W-16 CAP1,CHA4-YLR098C-16 CHA4,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train13,RELATED,A,B,exp,preadd,0.5,line,postadd,0.25,575,Categorical,Numerical,0
train14,YEAST,YAP7-YOL028C-16 YAP7,CCS1-YMR038C-16 CCS1,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train15,RELATED,A,B,hyperbola,premult,0.5,rbf,preadd,0.5,1188,Categorical,Numerical,0
train16,INDEP,A,B,NA,NA,NA,NA,NA,NA,743,Numerical,Numerical,0
train17,IDPTREAL,peak-rpm,aspiration,NA,NA,NA,NA,NA,NA,203,Numerical,Binary,1
train18,ARTIFCE,A,B,sine,preadd,1,NA,NA,NA,1014,Binary,Numerical,0
train19,RELATED,A,B,sine,preadd,1,sine,premult,0.5,2469,Numerical,Binary,0
train20,INDEP,A,B,NA,NA,NA,NA,NA,NA,2980,Numerical,Numerical,0
train21,INDEP,A,B,NA,NA,NA,NA,NA,NA,1169,Numerical,Numerical,0
train22,RLTDREAL,Minimum main memory,Published performance,NA,NA,NA,NA,NA,NA,209,Numerical,Numerical,1
train23,INDEP,A,B,NA,NA,NA,NA,NA,NA,2535,Numerical,Numerical,0
