SampleID,Source,A name,B name,F1,N1,S/N 1,F2,N2,S/N 2,sample num,A type,B type,RealData [yes=1]
train1,INDEP,A,B,NA,NA,NA,NA,NA,NA,1843,Numerical,Numerical,0
train2,RELATED,A,B,exp,postmult,2,sine,premult,0.5,935,Binary,Numerical,0
train3,INDEP,A,B,NA,NA,NA,NA,NA,NA,2299,Numerical,Numerical,0
train4,ARTIFCE,A,B,rbf,postadd,0.5,NA,NA,NA,6947,Numerical,Numerical,0
train5,INDEP,A,B,NA,NA,NA,NA,NA,NA,581,Numerical,Numerical,0
train6,ARTIFCE,A,B,atanh,preadd,1,NA,NA,NA,2314,Numerical,Numerical,0
train7,ECOLI,fnr-b1334-14 fnr,hlyE-b1182-14 hlyE,NA,NA,NA,NA,NA,NA,907,Numerical,Numerical,1
train8,RELATED,A,B,atanh,postmult,0.25,line,premult,1,1218,Numerical,Numerical,0
train9,RELATED,A,B,parabola,preadd,0.25,hyperbola,postmult,0.25,3743,Numerical,Numerical,0
train10,ARTIFCE,A,B,tanh,preadd,0.5,NA,NA,NA,892,Numerical,Numerical,0
train11,IDPTREAL,Algal frequency 2,Chemical component 2,NA,NA,NA,NA,NA,NA,338,Numerical,Numerical,1
train12,ARTIFCE,A,B,tanh,preadd,1,NA,NA,NA,6370,Numerical,Numerical,0
train13,ARTIFCE,A,B,cubic,premult,1,NA,NA,NA,4179,Numerical,Numerical,0
train14,ARTIFCE,A,B,line,postmult,1,NA,NA,NA,939,Numerical,Numerical,0
train15,ARTIFCE,A,B,rbf,postadd,1,NA,NA,NA,4357,Binary,Numerical,0
train16,RELATED,A,B,parabola,postmult,0.5,rbf,premult,0.25,4181,Categorical,Categorical,0
train17,INDEP,A,B,NA,NA,NA,NA,NA,NA,1208,Categorical,Binary,0
train18,ARTIFCE,A,B,line,preadd,1,NA,NA,NA,656,Categorical,Categorical,0
train19,INDEP,A,B,NA,NA,NA,NA,NA,NA,1456,Numerical,Numerical,0
train20,ARTIFCE,A,B,hyperbola,postmult,1,NA,NA,NA,513,Numerical,Numerical,0
train21,ARTIFCE,A,B,exp,preadd,2,NA,NA,NA,769,Categorical,Numerical,0
train22,INDEP,A,B,NA,NA,NA,NA,NA,NA,1388,Numerical,Numerical,0
train23,INDEP,A,B,NA,NA,NA,NA,NA,NA,1363,Categorical,Numerical,0
train24,ARTIFCE,A,B,sqrt,postmult,0.25,NA,NA,NA,713,Numerical,Categorical,0
train25,RELATED,A,B,sine,postmult,2,atanh,preadd,0.25,4198,Numerical,Numerical,0
train26,IDPTREAL,Weight,org,NA,NA,NA,NA,NA,NA,406,Numerical,Categorical,1
train27,ARTIFCE,A,B,atanh,preadd,0.25,NA,NA,NA,1232,Numerical,Numerical,0
train28,ARTIFCE,A,B,hyperbola,premult,0.25,NA,NA,NA,3261,Numerical,Numerical,0
train29,INDEP,A,B,NA,NA,NA,NA,NA,NA,2132,Numerical,Binary,0
train30,RLTDREAL,IsBadBuy,VNST,NA,NA,NA,NA,NA,NA,5108,Binary,Categorical,1
train31,RELATED,A,B,line,postmult,1,sine,preadd,0.25,1313,Binary,Numerical,0
train32,INDEP,A,B,NA,NA,NA,NA,NA,NA,534,Numerical,Numerical,0
train33,RELATED,A,B,rbf,postmult,0.25,exp,postmult,1,5273,Binary,Numerical,0
train34,ARTIFCE,A,B,atanh,premult,1,NA,NA,NA,861,Categorical,Numerical,0
train35,RELATED,A,B,tanh,postadd,2,hyperbola,premult,2,2542,Numerical,Binary,0
train36,INDEP,A,B,NA,NA,NA,NA,NA,NA,2728,Categorical,Binary,0
train37,ARTIFCE,A,B,cubic,postadd,0.25,NA,NA,NA,6190,Numerical,Numerical,0
train38,INDEP,A,B,NA,NA,NA,NA,NA,NA,5056,Numerical,Numerical,0
train39,RELATED,A,B,tanh,premult,0.5,atanh,postmult,1,525,Categorical,Numerical,0
train40,RELATED,A,B,exp,preadd,0.25,log,postmult,2,868,Numerical,Numerical,0
train41,RELATED,A,B,tanh,postmult,0.25,tanh,postadd,1,916,Numerical,Categorical,0
train42,ARTIFCE,A,B,cubic,postadd,1,NA,NA,NA,869,Binary,Numerical,0
train43,ARTIFCE,A,B,rbf,postadd,0.5,NA,NA,NA,687,Numerical,Numerical,0
train44,IDPTREAL,KIDSTUFF,AGE,NA,NA,NA,NA,NA,NA,2316,Binary,Numerical,1
train45,ARTIFCE,A,B,line,premult,2,NA,NA,NA,6078,Numerical,Numerical,0
train46,INDEP,A,B,NA,NA,NA,NA,NA,NA,2580,Numerical,Numerical,0
train47,ARTIFCE,A,B,line,premult,2,NA,NA,NA,6487,Numerical,Numerical,0
train48,ARTIFCE,A,B,rbf,preadd,2,NA,NA,NA,1072,Numerical,Numerical,0
train49,RELATED,A,B,tanh,postadd,1,tanh,premult,0.5,3937,Numerical,Categorical,0
train50,ARTIFCE,A,B,cubic,preadd,0.5,NA,NA,NA,3822,Numerical,Numerical,0
train51,RELATED,A,B,hyperbola,premult,1,log,postadd,0.25,2017,Binary,Categorical,0
train52,YEAST,SKO1-YNL167C-16 SKO1,PMC1-YGL006W-16 PMC1,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train53,ARTIFCE,A,B,log,postadd,0.25,NA,NA,NA,714,Categorical,Numerical,0
train54,IDPTREAL,Origin,Displacement,NA,NA,NA,NA,NA,NA,406,Categorical,Numerical,1
train55,ARTIFCE,A,B,sqrt,postadd,1,NA,NA,NA,794,Numerical,Numerical,0
train56,INDEP,A,B,NA,NA,NA,NA,NA,NA,989,Numerical,Numerical,0
train57,ARTIFCE,A,B,exp,postmult,0.5,NA,NA,NA,3466,Categorical,Numerical,0
train58,ARTIFCE,A,B,sine,preadd,0.25,NA,NA,NA,5729,Numerical,Numerical,0
train59,ARTIFCE,A,B,parabola,postadd,1,NA,NA,NA,4282,Numerical,Numerical,0
train60,CONCRETE,Fly Ash,Concrete compressive strength,NA,NA,NA,NA,NA,NA,620,Numerical,Numerical,1
train61,ARTIFCE,A,B,cubic,premult,2,NA,NA,NA,7965,Numerical,Numerical,0
train62,INDEP,A,B,NA,NA,NA,NA,NA,NA,4002,Numerical,Numerical,0
train63,RELATED,A,B,tanh,postmult,0.5,exp,postmult,0.25,942,Numerical,Numerical,0
train64,ARTIFCE,A,B,log,postmult,0.5,NA,NA,NA,1669,Numerical,Numerical,0
train65,RELATED,A,B,line,postadd,2,hyperbola,premult,0.5,651,Categorical,Numerical,0
train66,RELATED,A,B,cubic,premult,1,exp,postmult,0.25,803,Categorical,Numerical,0
train67,ARTIFCE,A,B,line,premult,2,NA,NA,NA,1484,Categorical,Numerical,0
train68,RELATED,A,B,sqrt,premult,0.5,sine,preadd,2,5213,Numerical,Numerical,0
train69,INDEP,A,B,NA,NA,NA,NA,NA,NA,3793,Numerical,Numerical,0
train70,RELATED,A,B,sine,postmult,0.5,hyperbola,preadd,0.25,2009,Categorical,Numerical,0
train71,INDEP,A,B,NA,NA,NA,NA,NA,NA,2350,Numerical,Numerical,0
train72,RELATED,A,B,line,postmult,0.5,atanh,postadd,0.25,1361,Numerical,Numerical,0
train73,ARTIFCE,A,B,exp,postmult,0.25,NA,NA,NA,626,Numerical,Numerical,0
train74,RELATED,A,B,exp,premult,0.5,exp,premult,0.25,1925,Binary,Numerical,0
train75,INDEP,A,B,NA,NA,NA,NA,NA,NA,3214,Numerical,Numerical,0
train76,ARTIFCE,A,B,log,preadd,2,NA,NA,NA,680,Numerical,Numerical,0
train77,YEAST,SNT2-YGL131C-16 SNT2,CDC19-YAL038W-16 CDC19,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train78,ARTIFCE,A,B,line,postadd,1,NA,NA,NA,994,Binary,Numerical,0
train79,ARTIFCE,A,B,rbf,postmult,2,NA,NA,NA,645,Numerical,Numerical,0
train80,RELATED,A,B,rbf,postmult,0.25,parabola,postadd,0.25,562,Numerical,Numerical,0
train81,ARTIFCE,A,B,log,postadd,2,NA,NA,NA,642,Categorical,Numerical,0
train82,RLTDREAL,FHL1-YPR104C-16 FHL1,RPS5-YJR123W-16 RPS5,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train83,ARTIFCE,A,B,sine,preadd,0.5,NA,NA,NA,2875,Numerical,Numerical,0
train84,IDPTREAL,Irradiation,A-23-P205567,NA,NA,NA,NA,NA,NA,461,Binary,Numerical,1
train85,RELATED,A,B,parabola,premult,1,rbf,postmult,2,1154,Numerical,Numerical,0
train86,ARTIFCE,A,B,tanh,postadd,0.25,NA,NA,NA,2063,Numerical,Numerical,0
train87,IDPTREAL,Mfg,Origin,NA,NA,NA,NA,NA,NA,406,Categorical,Categorical,1
train88,IDPTREAL,org,Model,NA,NA,NA,NA,NA,NA,406,Categorical,Categorical,1
train89,ARTIFCE,A,B,sine,preadd,2,NA,NA,NA,6419,Numerical,Numerical,0
train90,YEAST,ARG81-YML099C-16 ARG81,ARG8-YOL140W-16 ARG8,NA,NA,NA,NA,NA,NA,530,Numerical,Numerical,1
train91,ARTIFCE,A,B,tanh,postmult,0.5,NA,NA,NA,1087,Numerical,Numerical,0
train92,RELATED,A,B,parabola,postadd,0.25,cubic,postmult,1,4540,Numerical,Numerical,0
train93,INDEP,A,B,NA,NA,NA,NA,NA,NA,4471,Numerical,Binary,0
train94,INDEP,A,B,NA,NA,NA,NA,NA,NA,1229,Categorical,Numerical,0
train95,INDEP,A,B,NA,NA,NA,NA,NA,NA,898,Numerical,Categorical,0
train96,IDPTREAL,marA-b1531-14 marA,marB-b1532-15 marB,NA,NA,NA,NA,NA,NA,907,Numerical,Numerical,1
train97,ARTIFCE,A,B,line,postmult,1,NA,NA,NA,3923,Numerical,Numerical,0
