SampleID,A type,B type,RealData [yes=1]
train1,Numerical,Numerical,0
train2,Binary,Numerical,0
train3,Numerical,Numerical,0
train4,Numerical,Numerical,0
train5,Numerical,Numerical,0
train6,Numerical,Numerical,0
train7,Numerical,Numerical,1
train8,Numerical,Numerical,0
train9,Numerical,Numerical,0
train10,Numerical,Numerical,0
train11,Numerical,Numerical,1
train12,Numerical,Numerical,0
train13,Numerical,Numerical,0
train14,Numerical,Numerical,0
train15,Binary,Numerical,0
train16,Categorical,Categorical,0
train17,Categorical,Binary,0
train18,Categorical,Categorical,0
train19,Numerical,Numerical,0
train20,Numerical,Numerical,0
train21,Categorical,Numerical,0
train22,Numerical,Numerical,0
train23,Categorical,Numerical,0
train24,Numerical,Categorical,0
train25,Numerical,Numerical,0
train26,Numerical,Categorical,1
train27,Numerical,Numerical,0
train28,Numerical,Numerical,0
train29,Numerical,Binary,0
train30,Binary,Categorical,1
train31,Binary,Numerical,0
train32,Numerical,Numerical,0
train33,Binary,Numerical,0
train34,Categorical,Numerical,0
train35,Numerical,Binary,0
train36,Categorical,Binary,0
train37,Numerical,Numerical,0
train38,Numerical,Numerical,0
train39,Categorical,Numerical,0
train40,Numerical,Numerical,0
train41,Numerical,Categorical,0
train42,Binary,Numerical,0
train43,Numerical,Numerical,0
train44,Binary,Numerical,1
train45,Numerical,Numerical,0
train46,Numerical,Numerical,0
train47,Numerical,Numerical,0
train48,Numerical,Numerical,0
train49,Numerical,Categorical,0
train50,Numerical,Numerical,0
train51,Binary,Categorical,0
train52,Numerical,Numerical,1
train53,Categorical,Numerical,0
train54,Categorical,Numerical,1
train55,Numerical,Numerical,0
train56,Numerical,Numerical,0
train57,Categorical,Numerical,0
train58,Numerical,Numerical,0
train59,Numerical,Numerical,0
train60,Numerical,Numerical,1
train61,Numerical,Numerical,0
train62,Numerical,Numerical,0
train63,Numerical,Numerical,0
train64,Numerical,Numerical,0
train65,Categorical,Numerical,0
train66,Categorical,Numerical,0
train67,Categorical,Numerical,0
train68,Numerical,Numerical,0
train69,Numerical,Numerical,0
train70,Categorical,Numerical,0
train71,Numerical,Numerical,0
train72,Numerical,Numerical,0
train73,Numerical,Numerical,0
train74,Binary,Numerical,0
train75,Numerical,Numerical,0
train76,Numerical,Numerical,0
train77,Numerical,Numerical,1
train78,Binary,Numerical,0
train79,Numerical,Numerical,0
train80,Numerical,Numerical,0
train81,Categorical,Numerical,0
train82,Numerical,Numerical,1
train83,Numerical,Numerical,0
train84,Binary,Numerical,1
train85,Numerical,Numerical,0
train86,Numerical,Numerical,0
train87,Categorical,Categorical,1
train88,Categorical,Categorical,1
train89,Numerical,Numerical,0
train90,Numerical,Numerical,1
train91,Numerical,Numerical,0
train92,Numerical,Numerical,0
train93,Numerical,Binary,0
train94,Categorical,Numerical,0
train95,Numerical,Categorical,0
train96,Numerical,Numerical,1
train97,Numerical,Numerical,0
train98,Numerical,Categorical,0
train99,Numerical,Numerical,0
train100,Categorical,Numerical,0
train101,Numerical,Numerical,0
train102,Binary,Numerical,0
train103,Numerical,Numerical,1
train104,Numerical,Categorical,0
train105,Numerical,Numerical,1
train106,Numerical,Numerical,0
train107,Numerical,Numerical,0
train108,Numerical,Numerical,0
train109,Categorical,Numerical,0
train110,Numerical,Categorical,0
train111,Categorical,Categorical,0
train112,Numerical,Numerical,0
train113,Numerical,Numerical,0
train114,Numerical,Binary,0
train115,Binary,Numerical,0
train116,Numerical,Numerical,1
train117,Numerical,Numerical,0
train118,Binary,Numerical,1
train119,Numerical,Categorical,0
train120,Numerical,Numerical,0
train121,Numerical,Numerical,0
train122,Numerical,Numerical,0
train123,Numerical,Numerical,0
train124,Numerical,Numerical,1
train125,Binary,Numerical,1
train126,Binary,Numerical,0
train127,Binary,Numerical,0
train128,Numerical,Numerical,0
train129,Numerical,Numerical,1
train130,Binary,Numerical,0
train131,Numerical,Numerical,0
train132,Binary,Numerical,0
train133,Categorical,Numerical,0
train134,Numerical,Numerical,0
train135,Categorical,Numerical,0
train136,Numerical,Numerical,0
train137,Numerical,Numerical,0
train138,Numerical,Numerical,1
train139,Numerical,Numerical,0
train140,Numerical,Numerical,0
train141,Numerical,Categorical,1
train142,Numerical,Categorical,0
train143,Numerical,Numerical,0
train144,Numerical,Categorical,0
train145,Numerical,Numerical,0
train146,Binary,Categorical,0
train147,Categorical,Numerical,0
train148,Numerical,Numerical,0
train149,Numerical,Numerical,1
train150,Numerical,Numerical,0
train151,Numerical,Categorical,0
train152,Binary,Numerical,0
train153,Numerical,Binary,0
train154,Numerical,Numerical,0
train155,Numerical,Numerical,0
train156,Numerical,Numerical,0
train157,Numerical,Numerical,1
train158,Numerical,Numerical,0
train159,Categorical,Numerical,0
train160,Numerical,Binary,0
train161,Numerical,Numerical,0
train162,Categorical,Numerical,0
train163,Numerical,Numerical,0
train164,Numerical,Numerical,0
train165,Numerical,Numerical,0
train166,Numerical,Categorical,0
train167,Numerical,Numerical,0
train168,Numerical,Numerical,0
train169,Numerical,Categorical,0
train170,Numerical,Numerical,0
train171,Binary,Binary,0
train172,Numerical,Numerical,0
train173,Numerical,Categorical,0
train174,Numerical,Numerical,0
train175,Numerical,Numerical,0
train176,Binary,Numerical,0
train177,Numerical,Binary,0
train178,Categorical,Numerical,0
train179,Numerical,Categorical,1
train180,Numerical,Numerical,0
train181,Categorical,Numerical,0
train182,Numerical,Numerical,0
train183,Numerical,Numerical,1
train184,Numerical,Categorical,0
train185,Numerical,Numerical,0
train186,Numerical,Numerical,0
train187,Binary,Numerical,0
train188,Numerical,Numerical,0
train189,Numerical,Numerical,0
train190,Numerical,Numerical,0
train191,Numerical,Numerical,1
train192,Categorical,Numerical,0
train193,Numerical,Numerical,0
train194,Numerical,Numerical,0
train195,Numerical,Numerical,1
train196,Numerical,Numerical,0
train197,Numerical,Binary,0
train198,Numerical,Numerical,0
train199,Numerical,Numerical,0
train200,Numerical,Numerical,0
train201,Numerical,Numerical,0
train202,Categorical,Numerical,0
train203,Numerical,Categorical,0
train204,Categorical,Categorical,0
train205,Categorical,Binary,0
train206,Numerical,Binary,1
train207,Numerical,Numerical,0
train208,Numerical,Numerical,0
train209,Categorical,Numerical,0
train210,Numerical,Numerical,0
train211,Numerical,Numerical,0
train212,Numerical,Numerical,0
train213,Numerical,Numerical,0
train214,Numerical,Numerical,0
train215,Numerical,Numerical,0
train216,Binary,Numerical,0
train217,Numerical,Numerical,0
train218,Numerical,Numerical,1
train219,Numerical,Numerical,1
train220,Numerical,Numerical,1
train221,Numerical,Categorical,0
train222,Numerical,Categorical,0
train223,Categorical,Binary,0
train224,Numerical,Numerical,0
train225,Numerical,Numerical,1
train226,Numerical,Numerical,0
train227,Numerical,Numerical,0
train228,Numerical,Numerical,0
train229,Categorical,Numerical,1
train230,Numerical,Numerical,1
train231,Binary,Numerical,0
train232,Numerical,Numerical,1
train233,Binary,Categorical,0
train234,Numerical,Numerical,0
train235,Binary,Binary,0
train236,Numerical,Numerical,0
train237,Binary,Numerical,0
train238,Numerical,Numerical,0
train239,Numerical,Numerical,0
train240,Numerical,Numerical,0
train241,Numerical,Binary,0
train242,Numerical,Binary,0
train243,Numerical,Numerical,1
train244,Numerical,Numerical,1
train245,Categorical,Numerical,0
train246,Numerical,Numerical,0
train247,Numerical,Numerical,0
train248,Numerical,Categorical,0
train249,Numerical,Numerical,0
train250,Numerical,Binary,0
train251,Numerical,Numerical,0
train252,Categorical,Numerical,0
train253,Categorical,Numerical,0
train254,Binary,Numerical,0
train255,Numerical,Numerical,0
train256,Numerical,Numerical,0
train257,Categorical,Numerical,0
train258,Numerical,Numerical,0
train259,Categorical,Numerical,0
train260,Numerical,Numerical,0
train261,Binary,Binary,0
