SampleID,Target [1 for A->B; -1 for B->A and 0otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train1,0,4
train2,0,3
train3,0,4
train4,1,1
train5,0,4
train6,1,1
train7,1,1
train8,0,3
train9,0,3
train10,1,1
train11,0,4
train12,-1,2
train13,1,1
train14,1,1
train15,-1,2
train16,0,3
train17,0,4
train18,1,1
train19,0,4
train20,1,1
train21,1,1
train22,0,4
train23,0,4
train24,-1,2
train25,0,3
train26,0,4
train27,-1,2
train28,1,1
train29,0,4
train30,0,3
train31,0,3
train32,0,4
train33,0,3
train34,-1,2
train35,0,3
train36,0,4
train37,-1,2
train38,0,4
train39,0,3
train40,0,3
train41,0,3
train42,-1,2
train43,1,1
train44,0,4
train45,-1,2
train46,0,4
train47,-1,2
train48,-1,2
train49,0,3
train50,1,1
train51,0,3
train52,1,1
train53,1,1
train54,0,4
train55,-1,2
train56,0,4
train57,-1,2
train58,1,1
train59,1,1
train60,1,1
train61,1,1
train62,0,4
train63,0,3
train64,-1,2
train65,0,3
train66,0,3
train67,-1,2
train68,0,3
train69,0,4
train70,0,3
train71,0,4
train72,0,3
train73,1,1
train74,0,3
train75,0,4
train76,1,1
train77,1,1
train78,-1,2
train79,-1,2
train80,0,3
train81,-1,2
train82,0,3
train83,-1,2
train84,0,4
train85,0,3
train86,1,1
train87,0,4
train88,0,4
train89,1,1
train90,1,1
train91,-1,2
train92,0,3
train93,0,4
train94,0,4
train95,0,4
train96,0,4
train97,-1,2
train98,0,3
train99,0,3
train100,-1,2
train101,-1,2
train102,1,1
train103,0,4
train104,1,1
train105,0,4
train106,0,4
train107,1,1
train108,0,4
train109,0,3
train110,-1,2
train111,-1,2
train112,1,1
train113,0,4
train114,-1,2
train115,0,3
train116,0,3
train117,-1,2
train118,-1,2
train119,0,4
train120,-1,2
train121,1,1
train122,0,4
train123,0,3
train124,-1,2
train125,0,4
train126,0,4
train127,0,4
train128,0,4
train129,-1,2
train130,-1,2
train131,1,1
train132,0,3
train133,-1,2
train134,0,4
train135,1,1
train136,-1,2
train137,0,3
train138,1,1
train139,-1,2
train140,-1,2
train141,-1,2
train142,1,1
train143,-1,2
train144,1,1
train145,-1,2
train146,0,3
train147,1,1
train148,-1,2
train149,-1,2
train150,-1,2
train151,0,4
train152,0,4
train153,0,3
train154,0,4
train155,0,4
train156,0,4
train157,1,1
train158,0,3
train159,0,4
train160,0,4
train161,0,4
train162,0,4
train163,-1,2
train164,-1,2
train165,1,1
train166,-1,2
train167,0,3
train168,1,1
train169,0,4
train170,0,4
train171,1,1
train172,0,3
train173,1,1
train174,1,1
train175,-1,2
train176,1,1
train177,0,4
train178,1,1
train179,0,4
train180,0,3
train181,1,1
train182,0,3
train183,0,3
train184,1,1
train185,-1,2
train186,0,4
train187,1,1
train188,0,4
train189,-1,2
train190,-1,2
train191,0,4
train192,0,4
train193,-1,2
train194,-1,2
train195,1,1
train196,0,4
train197,0,3
train198,-1,2
train199,0,4
train200,1,1
train201,0,4
train202,-1,2
train203,0,4
train204,0,4
train205,0,4
train206,0,3
train207,1,1
train208,1,1
train209,0,3
train210,-1,2
train211,0,3
train212,0,4
train213,0,4
train214,-1,2
train215,-1,2
train216,0,3
train217,0,3
train218,0,3
train219,0,3
train220,1,1
train221,1,1
train222,1,1
train223,-1,2
train224,1,1
train225,-1,2
train226,-1,2
train227,0,4
train228,-1,2
train229,1,1
train230,-1,2
train231,0,4
train232,-1,2
train233,-1,2
train234,0,3
train235,0,4
train236,0,4
train237,1,1
train238,0,4
train239,0,4
train240,-1,2
train241,0,3
train242,-1,2
train243,1,1
train244,0,4
train245,1,1
train246,0,3
train247,-1,2
train248,1,1
train249,-1,2
train250,0,3
train251,0,4
train252,-1,2
train253,0,3
train254,0,4
train255,-1,2
train256,0,4
train257,1,1
train258,0,4
train259,0,4
train260,1,1
train261,0,3
train262,0,3
train263,-1,2
train264,1,1
train265,1,1
train266,0,3
train267,1,1
train268,-1,2
train269,-1,2
train270,0,4
train271,-1,2
train272,1,1
train273,0,4
train274,0,3
train275,0,3
train276,0,3
train277,0,3
train278,0,4
train279,0,4
train280,0,3
train281,0,3
train282,1,1
train283,-1,2
train284,0,3
train285,-1,2
train286,1,1
train287,1,1
train288,1,1
train289,0,4
train290,1,1
train291,0,4
train292,-1,2
train293,1,1
train294,1,1
train295,0,3
train296,1,1
train297,0,3
train298,1,1
train299,0,3
train300,1,1
train301,-1,2
train302,1,1
train303,1,1
train304,1,1
train305,0,3
train306,0,3
train307,-1,2
train308,0,4
train309,1,1
train310,-1,2
train311,1,1
train312,0,4
train313,-1,2
train314,-1,2
train315,0,4
train316,0,4
train317,0,3
train318,1,1
train319,-1,2
train320,0,3
train321,1,1
train322,0,4
train323,-1,2
train324,0,4
train325,0,4
train326,0,4
train327,0,4
train328,-1,2
train329,0,3
train330,0,3
train331,1,1
train332,-1,2
train333,0,4
train334,1,1
train335,0,3
train336,1,1
train337,-1,2
train338,-1,2
train339,0,4
train340,0,4
train341,-1,2
train342,-1,2
train343,0,4
train344,1,1
train345,0,4
train346,0,3
train347,-1,2
train348,-1,2
train349,0,4
train350,1,1
train351,0,4
train352,-1,2
train353,0,4
train354,1,1
train355,0,3
train356,0,4
train357,0,4
train358,0,4
train359,-1,2
train360,-1,2
train361,-1,2
train362,-1,2
train363,0,3
train364,-1,2
train365,1,1
train366,0,4
train367,0,4
train368,-1,2
train369,-1,2
train370,0,3
train371,0,4
train372,0,4
train373,0,3
train374,1,1
train375,0,3
train376,0,4
train377,1,1
train378,-1,2
train379,1,1
train380,0,3
train381,-1,2
train382,-1,2
train383,0,4
train384,1,1
train385,-1,2
train386,1,1
train387,0,4
train388,0,4
train389,-1,2
train390,1,1
train391,-1,2
train392,1,1
train393,0,3
train394,1,1
train395,0,4
train396,0,3
train397,1,1
train398,-1,2
train399,-1,2
train400,-1,2
train401,0,3
train402,0,4
train403,1,1
train404,0,3
train405,1,1
train406,0,3
train407,1,1
train408,0,4
train409,-1,2
train410,1,1
train411,-1,2
train412,0,4
train413,1,1
train414,0,4
train415,0,3
train416,0,4
train417,1,1
train418,1,1
train419,0,3
train420,0,3
train421,-1,2
train422,1,1
train423,-1,2
train424,-1,2
train425,1,1
train426,1,1
train427,-1,2
train428,1,1
train429,0,3
train430,0,4
train431,-1,2
train432,0,4
train433,-1,2
train434,0,3
train435,0,4
train436,0,4
train437,0,3
train438,0,3
train439,0,4
train440,0,3
train441,1,1
train442,-1,2
train443,-1,2
train444,1,1
train445,1,1
train446,-1,2
train447,0,4
train448,0,4
train449,0,4
train450,1,1
train451,0,3
train452,0,3
train453,-1,2
train454,0,4
train455,0,3
train456,0,3
train457,1,1
train458,1,1
train459,0,3
train460,0,4
train461,0,4
train462,1,1
train463,1,1
train464,1,1
train465,0,4
train466,0,3
train467,0,4
train468,0,3
train469,-1,2
train470,-1,2
train471,0,4
train472,-1,2
train473,1,1
train474,0,3
train475,0,3
train476,-1,2
train477,1,1
train478,0,4
train479,0,4
train480,-1,2
train481,1,1
train482,-1,2
train483,0,4
train484,0,3
train485,0,3
train486,1,1
train487,0,3
train488,1,1
train489,0,3
train490,-1,2
train491,0,3
train492,0,4
train493,0,4
train494,1,1
train495,-1,2
train496,1,1
train497,1,1
train498,0,4
train499,1,1
train500,0,4
train501,1,1
train502,-1,2
train503,0,3
train504,0,4
train505,0,3
train506,-1,2
train507,-1,2
train508,1,1
train509,-1,2
train510,0,4
train511,0,3
train512,1,1
train513,1,1
train514,1,1
train515,-1,2
train516,-1,2
train517,1,1
train518,0,3
train519,-1,2
train520,1,1
train521,1,1
train522,0,3
train523,-1,2
train524,0,4
train525,1,1
train526,0,4
train527,-1,2
train528,-1,2
train529,1,1
train530,0,3
train531,-1,2
train532,0,4
train533,1,1
train534,1,1
train535,0,4
train536,0,3
train537,0,3
train538,0,3
train539,-1,2
train540,0,3
train541,0,3
train542,0,4
train543,0,3
train544,1,1
train545,0,4
train546,0,4
train547,0,3
train548,0,4
